"","id","stNumber","stName","type","capacity"
"522",7626187,145,"king st e",NA,1
"523",7626188,125,"bathurst st",NA,1
"524",7626189,1229,"queen st w",NA,1
"525",7626190,2,"sussex ave",NA,1
"526",7626191,641,"eglinton ave w","Ring",1
"527",7626192,1859,"eglinton ave w","Ring",1
"528",7626193,504,"vaughan rd",NA,1
"529",7626194,269,"eglinton ave e","Ring",1
"530",7626196,480,"st clair ave w","Ring",1
"531",7626197,585,"king st w",NA,1
"532",7626198,1608,"eglinton ave w","Ring",1
"533",7626199,3349,"danforth ave","Ring",1
"534",7626200,34,"church st",NA,1
"535",7626201,135,"st clair ave w",NA,1
"536",7626202,711,"mount pleasant rd",NA,1
"537",7626203,763,"woodbine ave","Ring",1
"538",7626204,794,"mount pleasant rd","Ring",1
"539",7626205,2,"assiniboine rd","Rack",1
"540",7626206,46,"western battery rd",NA,1
"541",7626207,270,"armadale ave","Rack",1
"542",7626208,935,"queen st w","Rack",1
"543",7626209,2803,"dundas st w","Ring",1
"544",7626210,27,"roncesvalles ave",NA,1
"545",7626211,1497,"queen st w",NA,1
"546",7626213,2218,"bloor st w","Rack",1
"547",7626214,140,"the esplanade",NA,1
"548",7626215,2,"assiniboine rd","Rack",1
"549",7626216,70,"the pond rd","Rack",1
"550",7626217,334,"donlands ave","Rack",1
"551",7626218,1801,"eglinton ave w","Ring",1
"552",7626219,1464,"queen st w",NA,1
"553",7626220,110,"yonge st","Ring",1
"554",7626221,252,"soudan ave",NA,1
"555",7626222,819,"bathurst st",NA,1
"556",7626223,1,"eglinton ave e","Ring",1
"557",7626224,70,"the pond rd","Rack",1
"558",7626225,1850,"eglinton ave w","Ring",1
"559",7626226,180,"john st","Ring",1
"560",7626227,1656,"queen st e","Rack",1
"561",7626228,55,"bloor st w","Ring",1
"562",7626229,21,"dundonald st",NA,1
"563",7626230,1974,"weston rd",NA,1
"564",7626231,33,"walton st",NA,1
"565",7626232,332,"bloor st w",NA,1
"566",7626233,144,"cumberland st","Ring",1
"567",7626234,144,"cumberland st","Ring",1
"568",7626235,1087,"yonge st","Ring",1
"569",7626236,1087,"yonge st","Ring",1
"570",7626237,500,"glencairn ave","Ring",1
"571",7626238,387,"dundas st e","Ring",1
"572",7626239,500,"glencairn ave","Ring",1
"573",7626240,387,"dundas st e","Ring",1
"574",7626241,608,"church st","Ring",1
"575",7626242,608,"church st","Ring",1
"576",7626243,499,"bathurst st","Ring",1
"577",7626244,499,"bathurst st","Ring",1
"578",7626245,499,"bathurst st","Ring",1
"579",7626246,352,"front st w","Ring",1
"580",7626247,352,"front st w","Ring",1
"581",7626248,352,"front st w","Ring",1
"582",7626249,178,"st george st","Ring",1
"583",7626250,178,"st george st","Ring",1
"584",7626251,865,"dovercourt rd","Ring",1
"585",7626252,86,"sudbury st","Ring",1
"586",7626253,32,"lisgar st","Ring",1
"587",7626254,68,"sudbury st","Ring",1
"588",7626255,12,"douro st","Ring",1
"589",7626256,12,"douro st","Ring",1
"590",7626257,1331,"yonge st","Ring",1
"591",7626259,171,"gore vale ave","Ring",1
"592",7626260,1652,"keele st","Ring",1
"593",7626261,628,"fleet st","Ring",1
"594",7626262,21,"grand magazine st","Ring",1
"595",7626263,21,"grand magazine st","Ring",1
"596",7626264,65,"shank st","Ring",1
"597",7626265,994,"dundas st w","Ring",1
"598",7626266,994,"dundas st w","Ring",1
"599",7626267,994,"dundas st w","Ring",1
